description,amount,category,payment_mode,date
Toll road highway,1503.83,Transportation,Card,2024-10-19
Amazon Prime renewal,1481.18,Entertainment,UPI,2024-07-20
Sovereign gold bond,19427.19,Investments & Savings,Cash,2024-04-10
Auto rickshaw fare,1122.57,Transportation,UPI,2024-03-09
Myntra dress kurta,2339.63,Shopping,UPI,2024-09-10
Property tax payment,4156.12,Bills & Utilities,UPI,2024-11-07
McDonald's lunch,1252.64,Food & Dining,EMI,2024-06-19
School fees monthly,3252.59,Education,Card,2024-08-17
Ola auto rickshaw,1782.73,Transportation,EMI,2024-03-09
Health insurance premium,2780.05,Healthcare,EMI,2024-11-21
Grocery vegetables fruits,412.22,Food & Dining,UPI,2024-08-26
Petrol fuel bike,1968.35,Transportation,EMI,2024-02-15
Flight ticket travel,280.76,Transportation,Net Banking,2024-11-13
Mutual fund SIP payment,6888.97,Investments & Savings,EMI,2024-10-24
Health insurance premium,2395.82,Healthcare,Card,2024-11-23
EMI loan payment,4139.59,Bills & Utilities,Card,2024-08-02
Dosa idli breakfast,543.25,Food & Dining,Cash,2024-07-06
Kitchen utensils buy,6131.9,Shopping,UPI,2024-08-03
Grocery supermarket,1638.04,Shopping,UPI,2024-05-28
Auto rickshaw fare,757.36,Transportation,EMI,2024-03-14
Chai samosa street food,96.08,Food & Dining,UPI,2024-04-08
Crypto investment buy,1620.03,Investments & Savings,Card,2024-12-05
NPS pension fund,18819.5,Investments & Savings,EMI,2024-06-14
EPF employee provident,656.4,Investments & Savings,Card,2024-11-08
Vitamin supplements,2820.21,Healthcare,Cash,2024-09-13
RD recurring deposit,17742.27,Investments & Savings,UPI,2024-10-04
Grocery vegetables fruits,950.68,Food & Dining,EMI,2024-02-03
Auto rickshaw fare,1764.89,Transportation,EMI,2024-07-16
RD recurring deposit,10891.14,Investments & Savings,Net Banking,2024-04-08
Amazon Prime renewal,1639.79,Entertainment,Cash,2024-11-12
RD recurring deposit,1328.68,Investments & Savings,UPI,2024-11-02
Reliance Smart groceries,6640.73,Shopping,EMI,2024-05-11
Bus pass monthly,1663.82,Transportation,UPI,2024-01-11
Insurance premium LIC,2099.87,Bills & Utilities,UPI,2024-10-28
Home decor items,1820.75,Shopping,Card,2024-05-22
Language learning app,4890.96,Education,EMI,2024-02-17
Rapido bike taxi,1421.65,Transportation,UPI,2024-07-14
Language learning app,1357.86,Education,UPI,2024-11-19
Cricket match ticket,1038.14,Entertainment,Cash,2024-09-19
DTH recharge tata sky,4565.06,Bills & Utilities,Cash,2024-11-14
Gym membership fees,2067.3,Healthcare,Cash,2024-05-24
Swiggy pizza delivery,1038.48,Food & Dining,EMI,2024-05-25
Stationery notebooks pen,14352.05,Education,UPI,2024-06-15
NSC post office,10699.95,Investments & Savings,Card,2024-05-13
Chai samosa street food,574.89,Food & Dining,Card,2024-09-16
Gift birthday present,7563.9,Shopping,Net Banking,2024-02-28
NEET coaching fees,9164.02,Education,Net Banking,2024-05-18
Uber cab ride office,1426.31,Transportation,UPI,2024-09-26
Milk bread eggs,138.39,Food & Dining,Cash,2024-01-02
Stationery notebooks pen,14522.53,Education,EMI,2024-10-08
Municipal water bill,338.95,Bills & Utilities,Cash,2024-01-10
Water bill monthly,3125.56,Bills & Utilities,Net Banking,2024-10-22
Petrol car fill up,105.37,Transportation,EMI,2024-07-12
Mutual fund SIP payment,24473.02,Investments & Savings,Net Banking,2024-11-24
ELSS tax saving fund,23614.88,Investments & Savings,Cash,2024-05-25
Vitamin supplements,2698.04,Healthcare,Net Banking,2024-10-21
Books stationery purchase,6551.11,Shopping,UPI,2024-08-12
Ajio fashion clothing,6053.71,Shopping,EMI,2024-10-22
BEST bus Mumbai,1908.26,Transportation,Net Banking,2024-09-24
D-Mart household items,2471.82,Shopping,Card,2024-05-23
Parking charges mall,1968.19,Transportation,EMI,2024-01-22
Flipkart order clothes,5826.02,Shopping,Cash,2024-02-24
Dental checkup clinic,421.58,Healthcare,EMI,2024-08-17
NSC post office,13956.25,Investments & Savings,Net Banking,2024-09-26
PPF account deposit,13758.51,Investments & Savings,UPI,2024-02-16
Cafe coffee snacks,396.09,Food & Dining,Net Banking,2024-03-22
ELSS tax saving fund,17730.51,Investments & Savings,UPI,2024-04-24
Crypto investment buy,7732.21,Investments & Savings,Card,2024-06-08
BEST bus Mumbai,1819.07,Transportation,UPI,2024-02-21
Ambulance emergency,1713.17,Healthcare,UPI,2024-05-19
Medicine pharmacy purchase,2399.98,Healthcare,UPI,2024-11-21
Chai samosa street food,543.36,Food & Dining,Card,2024-04-25
BookMyShow event,948.99,Entertainment,Cash,2024-10-14
Diagnostic lab test,2548.84,Healthcare,UPI,2024-09-25
Netflix subscription monthly,1249.29,Entertainment,Net Banking,2024-06-12
ELSS tax saving fund,20727.29,Investments & Savings,Card,2024-11-25
Health insurance premium,454.47,Healthcare,Cash,2024-11-25
Insurance premium LIC,4855.79,Bills & Utilities,UPI,2024-08-26
ULIPpremium payment,22152.04,Investments & Savings,UPI,2024-04-07
Netflix subscription monthly,1497.52,Entertainment,Net Banking,2024-09-13
